typeof,name,address,comm,longitude,latitude,location
Library,Fish Creek Library,11161 BONAVENTURE DR SE,WIL,-114.0609114,50.95171805,"(50.95171805364437, -114.06091141872936)"
Library,Signal Hill Library,5994 SIGNAL HILL CT SW,SIG,-114.1753628,51.01879984,"(51.01879983635221, -114.17536278617024)"
Attraction,Scotiabank Saddledome,555 Saddledome RI SE,BLN,-114.0519704,51.03740133,"(51.037401331867834, -114.05197037229337)"
Community Centre,Silver Springs Community Centre,5720 Silver Ridge DR NW,SIL,-114.1925301,51.10465214,"(51.10465213762893, -114.19253010146795)"
Community Centre,Westgate Community Centre,4943 8 AV SW,WGT,-114.1578973,51.04463307,"(51.044633072531504, -114.15789734393195)"
Attraction,Heritage Park Historical Village,1900 Heritage Dr SW,GPK,-114.1082438,50.9848337,"(50.98483370113588, -114.10824382482379)"
Court,Alberta Provincial Court (Family),# 704-N 601 5 ST SW,DNC,-114.0741232,51.0469256,"(51.04692560365985, -114.074123212687)"
Community Centre,Chinook Park/Kelvin Grove/Eagle Ridge Community Centre,1015 73 AV SW,KEL,-114.0849477,50.98759577,"(50.98759577417002, -114.08494774002713)"
Court,Federal Court of Appeal,635 8 AV SW,DNC,-114.0758381,51.04563942,"(51.04563942132596, -114.07583807349852)"
Community Centre,Triwood Community Centre,2244 Chicoutimi DR NW,CHW,-114.1117154,51.08631751,"(51.08631750676294, -114.11171536406809)"
Community Centre,Killarney/Glengarry Community Centre,2828 28 ST SW,KIL,-114.1276829,51.0287192,"(51.02871920189859, -114.12768294840178)"
Attraction,Calgary Stampeders Football - McMahon Stadium,1817 Crowchild TR NW,UOC,-114.1182079,51.07040502,"(51.07040501943504, -114.1182079300792)"
Attraction,Calgary Firefighters Museum,4124 11 ST SE,HIF,-114.0365779,51.01846694,"(51.01846693545822, -114.03657793516909)"
Attraction,Triangle Art Gallery,#104 800 Macleod TR SE,DNC,-114.0575006,51.04507583,"(51.045075826509134, -114.05750055836236)"
Attraction,Canada's Sports Hall of Fame,169 Canada Olympic Road SW,COP,-114.2219925,51.08346059,"(51.083460590375374, -114.22199246540958)"
PHS Clinic,Northwest Community Health Centre,109 1829 Ranchlands BV NW,RAN,-114.1971615,51.12333355,"(51.123333552258295, -114.1971615208791)"
Community Centre,Copperfield & Mahogany Community Center,6 Copperstone Way SE,CPF,-113.9324483,50.91485983,"(50.91485982683862, -113.93244829251158)"
Community Centre,Whitehorn Community Centre,228 Whitehorn RD NE,WHI,-113.96695,51.08878862,"(51.08878861800125, -113.96694996868959)"
Attraction,Spruce Meadows Equestrian Centre,18011 Spruce Meadows WY SW,,-114.0943301,50.8895649,"(50.88956489509549, -114.09433006613926)"
Community Centre,Millican/Ogden/Lynnwood Community Centre,6901 20A ST SE,OGD,-114.0108514,50.99147136,"(50.991471359578625, -114.01085136252242)"
Community Centre,North Haven Community Centre,5003 North Haven DR NW,NHV,-114.0866232,51.09909773,"(51.099097726092864, -114.08662318987814)"
Attraction,Calgary Tower,101 9 AV SW,DNC,-114.0631126,51.04448024,"(51.04448023768848, -114.06311258857386)"
Community Centre,Abbeydale Community Centre,821 Abbeydale DR NE,ABB,-113.9320225,51.05961291,"(51.05961291015646, -113.93202249812654)"
Visitor Info,Calgary Chamber of Commerce,600 237 8 AV SE,DNC,-114.0583675,51.04518493,"(51.0451849276814, -114.05836753988049)"
Community Centre,Richmond/Knob Hill Community Centre,2433 26 AV SW,RIC,-114.1170348,51.02992082,"(51.02992081967741, -114.11703482233399)"
Attraction,Calgary City Hall & Municipal Complex,800 Macleod TR SE,DNC,-114.0579272,51.0453997,"(51.04539970470251, -114.05792721563786)"
